317,Edinburgh Park,Business,3.3833
319,Union Canal,Green Corridors,0.5623
320,Campbell Park,Public Parks & Gardens,3.6675
321,Campbell Park,Other semi-natural greenspace,0.6259
324,Calder Grove,Residential,2.1269
325,Calder Gardens,Residential,0.5708
326,Calder Park,Civic space,0.9313
327,Calder Grove,Residential,0.5133
328,Calder Drive,Residential,0.9922
329,Quarrybank End,Other semi-natural greenspace,0.9007
331,Union Canal,Green Corridors,1.1915
332,Union Canal,Green Corridors,0.7981
333,Union Canal,Green Corridors,2.1815
334,Murrayburn Road,Residential,1.4202
336,Parkhead Crescent,Residential,0.8088
339,Harvester Way - Hailesland Road,Green Corridors,2.9470
340,Dumbryden Gardens,Residential,1.2315
341,Hailes Quarry Park,Public Parks & Gardens,13.4345
344,Baberton Mains Park,Residential,1.6048
346,Baberton Mains Hill,Residential,1.7673
347,Baberton Mains Hill,Residential,0.6582
348,Baberton Mains Hill,Residential,0.6328
349,Bloomiehall Park,Public Parks & Gardens,2.2564
351,West Drylaw Row,Residential,0.8859
353,Davidson's Mains,Green Corridors,2.0746
354,Davidsons Mains Park,Public Parks & Gardens,14.4291
357,Gypsy Brae Recreation Ground,Public Parks & Gardens,20.2343
359,Leith Links,Public Parks & Gardens,6.6971
360,Disused Railway Network,Green Corridors,3.2497
361,St Cuthbert's Churchyard,Churchyards,2.1159
364,Moat Drive,Residential,1.2658
365,Slateford Green - Hutchison Crossway,Green Corridors,1.0739
366,Dalry Cemetery,Cemetery,2.2300
376,Hermitage of Braid/Blackford Hill & Pond,Semi-natural Park,4.0875
378,Hermitage of Braid/Blackford Hill & Pond,Semi-natural Park,0.5999
382,Newington Cemetery,Cemetery,5.6214
383,East Suffolk Park,Residential,1.7163
384,Eastern Cemetery,Cemetery,4.1695
386,Kings Haugh,Green Corridors,0.7859
390,Cairntows Park,Public Parks & Gardens,1.7558
391,Peffermill Court,Residential,0.5339
395,Meadowspot Park,Playing Field,1.3971
397,Redhall Nursery,Other semi-natural greenspace,2.0408
398,Redhall Nursery,Institutions,0.7572
399,Union Canal,Green Corridors,2.7205
401,Saughton Cemetery,Cemetery,2.8824
402,Saughton Park,Public Parks & Gardens,13.9823
403,Harrison Park,Public Parks & Gardens,3.9893
404,Harrison Park,Public Parks & Gardens,2.8222
405,North Merchiston Cemetery,Cemetery,3.7245
409,Morningside Cemetery,Cemetery,5.4947
410,Grange Cemetery,Cemetery,4.6692
411,Braid Hills/Princes Golf Course,Golf course,93.3883
412,Craiglockhart Hill,Other semi-natural greenspace,3.9345
413,Craiglockhart Hill,Other semi-natural greenspace,2.6609
418,Water of Leith,Green Corridors,2.1426
424,Magdalene Glen,Public Parks & Gardens,7.1999
425,Duddingston Loch and Bird Sanctuary,Other semi-natural greenspace,1.6861
429,Joppa Quarry Park,Playing Field,2.4154
430,Abercorn Park,Public Parks & Gardens,0.7945
431,Rosefield Park,Public Parks & Gardens,1.3358
432,Brighton Park,Public Parks & Gardens,0.8621
433,Murieston Park,Public Parks & Gardens,0.5431
434,Gorgie/Dalry Community Park,Public Parks & Gardens,1.1967
447,South of Drum Brae Drive,Green Corridors,0.7997
453,Braidburn Complex,Green Corridors,0.8338
457,The Meadows amd Bruntsfield Links,Public Parks & Gardens,10.2473
459,Kingsknowe Place,Residential,1.0461
460,Union Canal,Green Corridors,1.5092
461,Water of Leith,Green Corridors,1.2409
463,St Margarets Park,Public Parks & Gardens,3.1681
464,Corstorphine Churchyard,Churchyards,0.5964
466,Union Park,Playing Field,4.0913
468,Gyle Park & Playing Fields,Public Parks & Gardens,16.5606
470,Braidburn Complex,Green Corridors,1.1171
472,Water of Leith,Green Corridors,0.5356
473,Covenanter's Wood,Green Corridors,20.9694
474,Paties Road Recreation Ground,Playing Field,5.1830
475,Redhall Park,Public Parks & Gardens,3.5805
479,Redford Recreation,Residential,1.9380
485,Spylaw Park,Public Parks & Gardens,3.3883
487,Wester Hailes Road - By-pass,Green Corridors,1.8974
490,Wester Craiglockhart Hill,Other semi-natural greenspace,12.3524
492,Balgreen Nursery,Other semi-natural greenspace,1.2631
497,Hermitage of Braid/Blackford Hill & Pond,Semi-natural Park,4.1785
498,Hermitage of Braid/Blackford Hill & Pond,Semi-natural Park,57.5971
501,Prestonfield Park,Public Parks & Gardens,0.7939
503,Greenbank,Other semi-natural greenspace,6.9026
504,Colinton Mains Park,Public Parks & Gardens,6.8617
505,Firhill Drive,Residential,0.5419
508,Braidburn Valley Park,Public Parks & Gardens,12.2617
509,Oxgangs Avenue - Oxgangs Loan,Green Corridors,2.3038
