LB28164,46,2253,2,"47B, 47"
LB51393,47,10283,42,"X7, 98, X44, X6, 100, X18, X31, X26, N113, N107, N18, 26, N26, 31, 37, 47B, 47, 43, X37, N37, N43, 22, 36, 19, 113, N25, 44, 25, 4, 33, N31, 3, N3, N44, 2, 12, X28, N30, 30, X27, N22, N28"
LB51395,48,9733,15,"36, X37, N37, 37, 47B, 19, 43, 113, 22, N43, 47, 38, 24, 29, X29"
LB51394,49,12438,33,"36, X37, N37, 37, 47B, 19, 43, 113, 22, N43, 47, X7, 98, X44, X6, 100, X18, X31, X26, N113, N107, N18, 26, N26, 31, N25, 44, 25, 4, 38, 24, 29, X29"
LB28750,50,9695,11,"23, N14, 9, 8, 14, 27, 21, 19, N16, 16, 200"
LB28749,51,9940,11,"23, N14, 9, 8, 14, 27, 21, 36, 200, 16, N16"
LB46726,52,8474,12,"23, 8, N14, 9, 14, 27, 21, 11, 7, 200, N16, 16"
LB28256,53,11515,13,"200, 19, 16, N16, N14, 9, 8, 14, 38, 22, X29, X37, 24"
LB29996,54,9984,12,"23, 8, N14, 9, 14, 21, 11, 7, 27, 200, N16, 16"
LB43688,55,10217,9,"23, 14, 21, N14, 11, 7, N16, 200, 16"
LB43689,56,11481,9,"23, 14, 21, N14, 11, 7, 200, N16, 16"
LB46735,57,8841,9,"23, N14, 14, 21, 11, 7, 200, N16, 16"
LB28127,58,14545,10,"14, N14, 21, 10, 7, 11, 36, 200, 16, N16"
LB29400,59,14100,13,"23, N14, 14, 21, 11, 7, N16, 36, 34, 16, 35, 200, 10"
LB49050,60,12268,20,"34, 19, 25, 21, N107, 45, N124, N26, 5, 44, 26, 4, N113, X5, 113, X26, X44, 124, X6, X7"
LB49513,61,10640,20,"34, 19, 44, X7, 124, X5, X6, 113, X26, 26, X44, 35, N124, 5, N26, 4, N113, 45, N107, 25"
LB26731,62,25403,14,"14, N14, 21, 10, 7, 36, N16, 16, 35, 25, 49, 11, 1, 34"
LB27790,63,7114,15,"49, 12, 21, N26, 19, X26, 26, 44, X44, 5, 113, N124, 124, N107, N113"
LB27701,64,6721,8,"49, 12, 21, N26, 19, X26, 26, 5"
LB27230,65,6221,7,"N26, 26, 21, 12, 49, 19, X26"
